keyword,class,category,industry
manage training sign up according to individual profile,Human Resource Development,Human Resources,
ensure training attendance at optimum level,Human Resource Development,Human Resources,
gather post training feedback efficiently ,Human Resource Development,Human Resources,
analyse post training feedback prudently ,Human Resource Development,Human Resources,
improvise development strategy based on analysis result,Human Resource Development,Human Resources,
document employee database prudently,Human Resource Management,Human Resources,
organize employee databased according to management need,Human Resource Management,Human Resources,
update employee database frequently,Human Resource Management,Human Resources,
update human resource policy regularly,Human Resource Management,Human Resources,
manage employee payroll and claim prudently,Human Resource Management,Human Resources,
design organization structure according to managment need,Human Resource Management,Human Resources,
improvise organization structure design according to business need,Human Resource Management,Human Resources,
build sustainable relationship with customer,Customer Relationship Management,Customer Service,
solve customers issue up to satisfactory,Customer Relationship Management,Customer Service,
identify underlying issue before problem escalated,Customer Relationship Management,Customer Service,
listen to complain empathetically,Customer Relationship Management,Customer Service,
keep track of customers satisfaction effectively,Customer Relationship Management,Customer Service,
maintain customers satisfaction efficiently,Customer Relationship Management,Customer Service,
listen to customers request open-mindedly ,Product Customization,Customer Service,
customize product requirement involving customer,Product Customization,Customer Service,
advise customer objectively,Product Customization,Customer Service,
deliver customized product up to satisfactory,Product Customization,Customer Service,
listen to customers request open-mindedly ,Service Customization,Customer Service,
customize service scope involving customer,Service Customization,Customer Service,
advise customer objectively ,Service Customization,Customer Service,
deliver customized service up to satisfactory,Service Customization,Customer Service,
explore customers need in details,Consultation,Customer Service,
achieve understanding with customer objectively,Consultation,Customer Service,
design consultancy package diligently,Consultation,Customer Service,
deliver consultancy service up to satisfactory,Consultation,Customer Service,
identify and categorise lead accurately,Sales Lead Generation ,Sales,
explore customers future need resourcefully,Sales Lead Generation ,Sales,
gather business information through unconventional channel,Sales Lead Generation ,Sales,
explore new opportunity through customers referral,Sales Lead Generation ,Sales,
arrange fact and figure in presentable manner,"Sales Pitch Design, Delivery and Closing",Sales,
present sales pitch smoothly,"Sales Pitch Design, Delivery and Closing",Sales,
answer inquiry confidently,"Sales Pitch Design, Delivery and Closing",Sales,
prompt potential customer to further understand,"Sales Pitch Design, Delivery and Closing",Sales,
understand customers underlying intention precisely,"Sales Pitch Design, Delivery and Closing",Sales,
improvise sales tactic according to circumstances,"Sales Pitch Design, Delivery and Closing",Sales,
utilise available content effectively,"Sales Pitch Design, Delivery and Closing",Sales,
revise sales proposal according to customers need,"Sales Pitch Design, Delivery and Closing",Sales,
ensure all sales document are well prepared,"Sales Pitch Design, Delivery and Closing",Sales,
close sales deal smoothly,"Sales Pitch Design, Delivery and Closing",Sales,
follow up sales order regularly ,Sales Management,Sales,
keep track of sales performance periodically,Sales Management,Sales,
update sales account information regularly,Sales Management,Sales,
devise sales tactic creatively,Sales Management,Sales,
coordinate with product development team frequently,Sales Management,Sales,
coordinate with marketing team frequently,Sales Management,Sales,
keep sales teams business information updated regularly,Sales Management,Sales,
define target market succinctly,Marketing Strategic Planning,Marketing,
utilise market research outcome effectively,Marketing Strategic Planning,Marketing,
define product market fit concisely,Marketing Strategic Planning,Marketing,
define SMART objective clearly,Marketing Strategic Planning,Marketing,
allign marketing objective according to business direction,Marketing Strategic Planning,Marketing,
listening,Communications Skills,,
speaking,Communications Skills,,
giving feedback,Communications Skills,,
networking,Communications Skills,,
negotiate,Communications Skills,,
attention to details,Organization Skills,,
priorities,Organization Skills,,
ownership,Leadership Skills,,
integrity,Leadership Skills,,
problem identification,Creativity Skills,,
making connection,Creativity Skills,,
strategic awareness,Creativity Skills,,
get work done,Sense of Urgency,,
on time,Sense of Urgency,,
team work,Collaboration,,
technical skills,Technical Foundation,,
knowledge,Technical Foundation,,
put knowledge learned,Apply New Learning,,
put knowledge acquired,Apply New Learning,,
practise at work,Apply New Learning,,
provide avenue * applied,Develops People,,
not wait for instruction,Takes Initiative,,
act on own,Takes Initiative,,
proactive,Takes Initiative,,
apply new learning,Apply New Learning,,
learn new technical skills fast,Apply New Learning,,
learning very fast,Apply New Learning,,
research problem,Apply New Learning,,
always learning,Apply New Learning,,
fast learner,Apply New Learning,,
apply in project,Apply New Learning,,
apply new knowledge,Apply New Learning,,
keep improving,Apply New Learning,,
learn* knowledge,Apply New Learning,,
apply to product,Apply New Learning,,
quick learner,Apply New Learning,,
grasp new concept,Apply New Learning,,
translate the knowledge,Apply New Learning,,
able to cope,Apply New Learning,,
learnt up *,Apply New Learning,,
cope with new task,Apply New Learning,,
introducing new way or knowledge,Apply New Learning,,
contribute * knowledge,Apply New Learning,,
new thing to apply on * system,Apply New Learning,,
learn new technologie,Apply New Learning,,
learn new skills for job,Apply New Learning,,
learn new thing when doing,Apply New Learning,,
fast learning skills (AND) applying them,Apply New Learning,,
change (NEAR) when found better method,Apply New Learning,,
applying new learning,Apply New Learning,,
introduced to new things,Apply New Learning,,
apply new knowledge to the exist environment,Apply New Learning,,
utilizing * knowledge in * work,Apply New Learning,,
learns from * colleagues experience * puts them to * use.,Apply New Learning,,
collaborative,Collaboration,,
Able to have discussion,Collaboration,,
listen (AND) collaborate,Collaboration,,
communicate (AND) understand,Collaboration,,
Able to work in * team,Collaboration,,
work closely with *,Collaboration,,
gives inputs,Collaboration,,
willing to take others ideas,Collaboration,,
Good teamwork,Collaboration,,
Active in brainstorming sessions,Collaboration,,
actively participating in generating ideas,Collaboration,,
ask other opinion,Collaboration,,
honest to teammate,Collaboration,,
make sure inter-related work,Collaboration,,
understood by everyone involved,Collaboration,,
Provide helps,Collaboration,,
Answer questions when asked,Collaboration,,
work as a team,Collaboration,,
initiate communication,Collaboration,,
work together,Collaboration,,
giving output,Collaboration,,
join into discussion (AND) provide inputs,Collaboration,,
communication with * team mate,Collaboration,,
nice to work with,Collaboration,,
accept suggestions given,Collaboration,,
team player,Collaboration,,
role model,Develops People,,
give * motivation,Develops People,,
willing to train them,Develops People,,
giving them opportunity to grow,Develops People,,
bringing her team members,Develops People,,
ways to (NEAR) develop * team members,Develops People,,
encorage job rotation,Develops People,,
encourage people to do self learning,Develops People,,
overcome the flaws,Develops People,,
personal growth,Develops People,,
encourage to join trainings,Develops People,,
coach,Develops People,,
encourage us to learn new technology,Develops People,,
want us to apply what we have learnt,Develops People,,
give Instructions clearly,Develops People,,
knowledge sharing among the team,Develops People,,
pushing people to learn,Develops People,,
give * chance to everyone,Develops People,,
Bring the team to the goal,Develops People,,
providing methods (AND) techniques for others to improve themselves,Develops People,,
coaching,Develops People,,
Encourage employee to try new stuffs,Develops People,,
encourage others,Develops People,,
Engage all members in work,Develops People,,
guide *,Develops People,,
focus on * strong points,Develops People,,
set higher aim based on each person.,Develops People,,
Give chance for the team members to explore,Develops People,,
showing the team member the * way to perform * work,Develops People,,
one that drive the skills (AND) knowledge,Develops People,,
develops people.,Develops People,,
provide others knowledge,Develops People,,
let * think of solution,Develops People,,
encourage on self management skill,Develops People,,
encouraging (AND) motivating others.,Develops People,,
mentoring,Develops People,,
pushing the limits,Develops People,,
encourage the team,Develops People,,
let * have the opportunity to choose,Develops People,,
encourage people to think,Develops People,,
encourages others to learn,Develops People,,
giving * challenging work,Develops People,,
promote others to think critically,Develops People,,
coaches rather than spoon-feed,Develops People,,
encouraging,Develops People,,
motivating,Develops People,,
willing to develop * team,Develops People,,
challenge * people (NEAR) get out from their comfort zone,Develops People,,
improve them self,Develops People,,
share with (NEAR) knowledge,Develops People,,
never discouraged *,Develops People,,
provide training,Develops People,,
let * grow,Develops People,,
delegate authority,Develops People,,
ask the team join the internal training,Develops People,,
enrich * skillset,Develops People,,
let (NEAR) to learn,Develops People,,
sending * team mate to attend training,Develops People,,
utilized or understand people on what drive them to work,Develops People,,
spend time on *,Develops People,,
never stops sharing knowledge,Develops People,,
Passing on personal knowledge to others,Develops People,,
give (NEAR) space to learn,Develops People,,
suggest solutions,Develops People,,
give constructive feedback,Develops People,,
giving new challenges,Develops People,,
giving (NEAR) opportunities for them,Develops People,,
give chance to those people who are prepared,Develops People,,
Encouraging team members,Develops People,,
provide avenues of applying new ideas,Develops People,,
provides * performance feedback,Develops People,,
advice for a solution,Develops People,,
supports * in learning,Develops People,,
assign * interesting tasks,Develops People,,
avoid assign same tasks to a same person,Develops People,,
give chance to other people learn,Develops People,,
challenge (NEAR) limit,Develops People,,
transfer knowledge to his team members,Develops People,,
take initiative,Takes Initiative,,
act on * own,Takes Initiative,,
takes initiative to propose,Takes Initiative,,
take lead,Takes Initiative,,
initiatives on * own,Takes Initiative,,
waits for instructions,Takes Initiative,,
volunteer,Takes Initiative,,
step up to provide opinion,Takes Initiative,,
does not hesitate to contribute,Takes Initiative,,
tendency of getting more work,Takes Initiative,,
know what to do,Takes Initiative,,
not take a long time to ask,Takes Initiative,,
what to do on his own,Takes Initiative,,
show initiative,Takes Initiative,,
not afraid to try,Takes Initiative,,
does not wait for people,Takes Initiative,,
always trying to find something to do,Takes Initiative,,
independent,Takes Initiative,,
offer * to work,Takes Initiative,,
propose something,Takes Initiative,,
take action on what (NEAR) is necessary,Takes Initiative,,
work by his own,Takes Initiative,,
know what to do next,Takes Initiative,,
initiative to take action,Takes Initiative,,
always asking is there anything need to help,Takes Initiative,,
initiative to ask,Takes Initiative,,
work (NEAR) independently,Takes Initiative,,
never waits for instruction,Takes Initiative,,
keep thing done before * ask,Takes Initiative,,
actively approached,Takes Initiative,,
always take on things,Takes Initiative,,
volunteering,Takes Initiative,,
Takes initiative,Takes Initiative,,
initiative on task,Takes Initiative,,
ask for something to do,Takes Initiative,,
independent (AND) initiative,Takes Initiative,,
minimum supervision,Takes Initiative,,
try on his own before asking,Takes Initiative,,
willing to take action,Takes Initiative,,
apply newly learnt,Apply New Learning,,
learn (NEAR) apply,Apply New Learning,,
research (AND) apply,Apply New Learning,,
apply * knowledge,Apply New Learning,,
apply any new knowledge,Apply New Learning,,
learned (AND) produce,Apply New Learning,,
learn (AND) deliver,Apply New Learning,,
show (NEAR) new knowledge,Apply New Learning,,
learning (AND) apply,Apply New Learning,,
learn (NEAR) new (AND) implement,Apply New Learning,,
grasp new concept (AND) translate the knowledge,Apply New Learning,,
* communication skill,Communications Skills,,
analytical thinking,Creativity Skills,,
articulate communicator,Communications Skills,,
clear communication,Communications Skills,,
listen to others (AND) give advice,Communications Skills,,
different idea (AND) willing to listen,Communications Skills,,
actively communicate,Communications Skills,,
exchange (NEAR) opinion,Communications Skills,,
listen * opinion (AND) giving constructive feedback,Communications Skills,,
fosters open communication,Communications Skills,,
good communication,Communications Skills,,
speaking skill,Communications Skills,,
giving a feedback in detail,Communications Skills,,
good listening (AND) speaking,Communications Skills,,
listening (AND) provide feedback,Communications Skills,,
open to take in opinions,Communications Skills,,
understand the message,Communications Skills,,
answer * problem (AND) suggest * solution,Communications Skills,,
discuss,Communications Skills,,
listen (AND) suggestion,Communications Skills,,
open for discussion,Communications Skills,,
listening feedback (NEAR) before providing suggestion,Communications Skills,,
listen to * difficulty (AND) provide* feedback,Communications Skills,,
delivering the technical idea without too much technical jargon,Communications Skills,,
never raise his voice during negotiation,Communications Skills,,
stays calm during negotiation,Communications Skills,,
open to discuss,Communications Skills,,
set priorities,Strategic Planning,General,
allocate resources to pursue a strategy,Strategic Planning,General,
analyze an organization and its relationship to the environment it competes,Strategic Planning,General,
coordinate the process of formulation and implementation,Strategic Planning,General,
effectively communicate to develop common understanding within an organization,Strategic Planning,General,
strengthen operations,Strategic Planning,General,
plan with specific actions and specific deadlines,Tactical Planning,General,
align tactical plan to strategic outlook,Tactical Planning,General,
able to improvise quickly,Tactical Planning,General,
reduce wastage in process,Lean Transformation,General,
improve productivity with no need of extra resource,Lean Transformation,General,
understand the whole value stream clearly,Lean Transformation,General,
proactively identifying and analyzing flaws of processes,Process Improvement ,General,
consistently improve business processes,Process Improvement ,General,
driven by the objective of optimizing processes,Process Improvement ,General,
optimizes process for high quantity and quality,Process Improvement ,General,
collect data and analyze them,Business Research,General,
analyze financial data,Business Research,General,
analyze consumer feedback,Business Research,General,
analyze product research,Business Research,General,
formulates detailed competitive analysis,Business Research,General,
analyzes industry data,Business Research,General,
develops an effective customer proposition,Business Model Design,General,
formulates a profit formula,Business Model Design,General,
determines key resources,Business Model Design,General,
determines key processes,Business Model Design,General,
identify the fundamental needs in an organization,Policy and Procedure Design,General,
consult with appropriate stakeholders,Policy and Procedure Design,General,
implement effectively,Policy and Procedure Design,General,
"monitor, review and revise implementation",Policy and Procedure Design,General,
analyze compliance data,Legal Compliance,General,
analyze new regulatory requirements and implementation of new policies,Legal Compliance,General,
general legal and compliances research,Legal Compliance,General,
supervise and assist assembly activities as required to meet schedule requirements,Outsourcing Management,General,
develop strong partnerships with key suppliers to achieve performance objectives,Outsourcing Management,General,
acts as problem solver and decision maker to identify and correct problem areas,Outsourcing Management,General,
responds to quality and customer corrective and preventative action requests,Outsourcing Management,General,
committed to advancing product innovation,Research and Development ,General,
discovers solutions to problems or creating new goods and knowledge,Research and Development ,General,
develops and implements research and development procedures and techniques,Research and Development ,General,
relies on extensive experience and judgment to plan and accomplish goals,Research and Development ,General,
"development of new designs, materials",Research and Development ,General,
identification and deployment of advanced technologies and designs,Research and Development ,General,
negotiating and communicating product specifications with the customer,Research and Development ,General,
modelling and simulation of process technology,Research and Development ,General,
design or implementation of product experiments to meet yield improvement plans,Research and Development ,General,
"determine and track required head performance, reliability requirements and gaps for program",Research and Development ,General,
"monitoring, creation and management of intellectual property",Research and Development ,General,
design and implementation of experiments to optimise new and existing materials and processes,Research and Development ,General,
understand higher level picture,Creativity Skills,,
detail oriented person,Creativity Skills,,
creativity in handling problem,Creativity Skills,,
analyze difficult problem,Creativity Skills,,
propose workable solution,Creativity Skills,,
relate the connections based on the issues,Creativity Skills,,
analyze the issue thoroughly,Creativity Skills,,
creative * solving,Creativity Skills,,
analyzes the problem quickly,Creativity Skills,,
provide accurate solution,Creativity Skills,,
detect performance flaw,Creativity Skills,,
identify problem,Creativity Skills,,
thinking in bigger picture,Creativity Skills,,
identify the risk,Creativity Skills,,
think of creative solution,Creativity Skills,,
troubleshoot,Creativity Skills,,
solves * problems,Creativity Skills,,
different way to solve the problem,Creativity Skills,,
relate problems with the root cause,Creativity Skills,,
connects * to related incidents,Creativity Skills,,
analyse data using various methods,Creativity Skills,,
analysts to a problem from different angle,Creativity Skills,,
find root cause of issues,Creativity Skills,,
multiple way in problem solving,Creativity Skills,,
way to solve problem,Creativity Skills,,
Analysis the issue,Creativity Skills,,
ways to fix the same issue,Creativity Skills,,
recognize the root cause,Creativity Skills,,
strategy awareness,Creativity Skills,,
Asks * question (AND) new ideas,Creativity Skills,,
suggest idea,Creativity Skills,,
suggest practical solution,Creativity Skills,,
awareness on the system gap,Creativity Skills,,
offer * solutions,Creativity Skills,,
solve problems,Creativity Skills,,
recognizing (AND) pointing out problems,Creativity Skills,,
Understanding the whole problem,Creativity Skills,,
understand problems,Creativity Skills,,
tenacious problem solver,Creativity Skills,,
creative methods,Creativity Skills,,
detail thinking process,Creativity Skills,,
impact analysis,Creativity Skills,,
Fast in finding solutions,Creativity Skills,,
calculate the risk,Creativity Skills,,
impact calculation,Creativity Skills,,
foresee * possible issue,Creativity Skills,,
problem identification skills,Creativity Skills,,
Good grasp of technical issue,Creativity Skills,,
analysing multiple parts of the system,Creativity Skills,,
deduce connections,Creativity Skills,,
suggest * possible problems,Creativity Skills,,
pattern recognition,Creativity Skills,,
thinking different with other,Creativity Skills,,
clear strategic view,Creativity Skills,,
know what is the problem,Creativity Skills,,
think out with another solution,Creativity Skills,,
able to trace the root cause,Creativity Skills,,
think out of the box,Creativity Skills,,
best solution to the problem,Creativity Skills,,
critical think,Creativity Skills,,
identify issue,Creativity Skills,,
explore creative solutions,Creativity Skills,,
finding the root cause for the issue,Creativity Skills,,
identify the blind spot of a problem,Creativity Skills,,
illustrate the scenario,Communications Skills,,
using the simple explanation,Communications Skills,,
providing different solution,Creativity Skills,,
think another way of solving the problem,Creativity Skills,,
suggesting the best available ideas,Creativity Skills,,
spot (AND) aware unusual,Creativity Skills,,
think of the possible root causes,Creativity Skills,,
pin point the root cause,Creativity Skills,,
detecting what problems might occur,Creativity Skills,,
come out a strategic,Creativity Skills,,
come out with solutions,Creativity Skills,,
strategic planning,Creativity Skills,,
way to deal with situations,Creativity Skills,,
solve that issue based on user point of view,Creativity Skills,,
ensure compliance with Health and Safety procedures,Research and Development ,General,
analyze patterns in human behavior ,User Behavioural Study,Products and Services Development,
identify pattern in human behavior,User Behavioural Study,Products and Services Development,
provide data of human behaviour to facilitate product development,User Behavioural Study,Products and Services Development,
Java Javascript,Software Development,Products and Services Development,
C# Asp.net,Software Development,Products and Services Development,
C\+\+,Software Development,Products and Services Development,
Python,Software Development,Products and Services Development,
PHP,Software Development,Products and Services Development,
SQL MySQL,Software Development,Products and Services Development,
Hadoop,Software Development,Products and Services Development,
HTML5 CSS3,Software Development,Products and Services Development,
iOS Android,Software Development,Products and Services Development,
ability to solve problems,Software Development,Products and Services Development,
fearless refactoring,Software Development,Products and Services Development,
develops quality,Software Development,Products and Services Development,
willing to leverage existing codes,Software Development,Products and Services Development,
focus on usable and maintainable codes,Software Development,Products and Services Development,
can code on multiple languages,Software Development,Products and Services Development,
attention to detail,Software Development,Products and Services Development,
business acumen,Software Development,Products and Services Development,
able to work in a team,Software Development,Products and Services Development,
communication and interpersonal skills,Software Development,Products and Services Development,
driven to keep learning,Software Development,Products and Services Development,
"improving the components, layout and design of a computer for increased efficiency",Hardware Development,Products and Services Development,
design the most compact and cost-effective model possible,Hardware Development,Products and Services Development,
analyze existing systems to identify flaws or inefficiencies,Hardware Development,Products and Services Development,
problem solving skills,Hardware Development,Products and Services Development,
inductive and deductive reasoning,Hardware Development,Products and Services Development,
assess customer needs and offer clients technical support,Hardware Development,Products and Services Development,
cloud security,IT Infrastructure Development,Products and Services Development,
software-defined WANs,IT Infrastructure Development,Products and Services Development,
cloud service broker,IT Infrastructure Development,Products and Services Development,
next generation firewalls,IT Infrastructure Development,Products and Services Development,
cloud-managed networking,IT Infrastructure Development,Products and Services Development,
collaborative,IT Infrastructure Development,Products and Services Development,
mobile device management,IT Infrastructure Development,Products and Services Development,
malware sandboxing,IT Infrastructure Development,Products and Services Development,
application containers,IT Infrastructure Development,Products and Services Development,
data centre switching,IT Infrastructure Development,Products and Services Development,
identifying problems and needs,Service Development,Products and Services Development,
able to profile user groups,Service Development,Products and Services Development,
"develops, evaluates, tests and improves the solution ideas",Service Development,Products and Services Development,
able to evaluate and test engine calibrations with software for real-time embedded systems using model-based software development tools,System Integration,Coding and Programming,
analyze and validate all calibrations,System Integration,Coding and Programming,
possess strong leadership skills,System Integration,Coding and Programming,
prepares and supports design reviews,System Integration,Coding and Programming,
able to lead and coordinate meetings with their teams,System Integration,Coding and Programming,
able to troubleshoot and resolve any system issues,System Integration,Coding and Programming,
"understands control systems, sub-systems, and component requirements of all systems",System Integration,Coding and Programming,
"manages all documentation, change control, and traceability",System Integration,Coding and Programming,
optimize maintenance and deployments to ensure integrated functioning,System Integration,Coding and Programming,
demonstrating good examples,Leadership Skills,,
ownership over tasks allocated,Leadership Skills,,
think about the outcome of decision made,Leadership Skills,,
handling poor performers,Leadership Skills,,
setting clear goals,Leadership Skills,,
team lead,Leadership Skills,,
blame,Communications Skills,,
tone down,Communications Skills,,
tone up,Communications Skills,,
listen to others,Communications Skills,,
give * feedback,Communications Skills,,
keep (NEAR) confidential,Communications Skills,,
constructive feedback,Communications Skills,,
accept other ideas,Communications Skills,,
proper tone,Communications Skills,,
good feedback,Communications Skills,,
express their feeling,Communications Skills,,
respect * member,Communications Skills,,
approachable,Communications Skills,,
message (NEAR) clearly,Communications Skills,,
proactive (AND) communication,Communications Skills,,
good listener,Communications Skills,,
speaker,Communications Skills,,
communication (NEAR) level,Communications Skills,,
communicate (NEAR) effectively,Communications Skills,,
active participation,Communications Skills,,
constructive (NEAR) feedback,Communications Skills,,
quality feedback,Communications Skills,,
able to listen,Communications Skills,,
discussing,Communications Skills,,
useful feedback,Communications Skills,,
deliver (NEAR) message,Communications Skills,,
customer focus,Communications Skills,,
insult other,Communications Skills,,
conversation (NEAR) colleagues,Communications Skills,,
communication,Communications Skills,,
help others,Communications Skills,,
good (NEAR) suggestion,Communications Skills,,
open discuss,Communications Skills,,
hear others out,Communications Skills,,
effective communicator,Communications Skills,,
employee (NEAR) feedback,Communications Skills,,
miscommunication,Communications Skills,,
speaking skills,Communications Skills,,
update (NEAR) requirements,Communications Skills,,
voice (NEAR) opinion,Communications Skills,,
honest opinion,Communications Skills,,
clear instruction,Communications Skills,,
clear (NEAR) communication,Communications Skills,,
give advice,Communications Skills,,
listen (NEAR) problem,Communications Skills,,
avoid jargon,Communications Skills,,
negotiation,Communications Skills,,
clear answers,Communications Skills,,
available,Communications Skills,,
listen (NEAR) other,Communications Skills,,
diplomatic,Communications Skills,,
sharing session,Communications Skills,,
listen advice,Communications Skills,,
face-to-face,Communications Skills,,
instruction (NEAR) clear,Communications Skills,,
friendliness,Communications Skills,,
friendly,Communications Skills,,
contribute (NEAR) idea,Communications Skills,,
open (NEAR) other,Communications Skills,,
accept critics * other,Communications Skills,,
share (NEAR) knowledge,Communications Skills,,
follow up,Communications Skills,,
public speaking,Communications Skills,,
mediator,Communications Skills,,
listen (NEAR) feedback,Communications Skills,,
openmind,Communications Skills,,
transfering knowledge,Communications Skills,,
explain (NEAR) clearly,Communications Skills,,
fast (NEAR) reply,Communications Skills,,
relation (NEAR) other,Communications Skills,,
suggest (NEAR) feedback,Communications Skills,,
listen (NEAR) complain,Communications Skills,,
listening (NEAR) feedback,Communications Skills,,
resolve (NEAR) issue,Communications Skills,,
raise (NEAR) voice,Communications Skills,,
outspoken,Communications Skills,,
opened (NEAR) discussion,Communications Skills,,
open-mindd,Communications Skills,,
open (NEAR) feedback,Communications Skills,,
"integrate diverse systems, networks, and servers to achieve overall aims",System Integration,Coding and Programming,
troubleshoot and debug system issues to increase performance and quality of data,System Integration,Coding and Programming,
identify weaknesses in the processes,Testing and Quality Assurance,Coding and Programming,
correct those weaknesses to continually improve the process,Testing and Quality Assurance,Coding and Programming,
process definition and implementation,Testing and Quality Assurance,Coding and Programming,
managing the product life cycle and verifying that the software meets the defined quality standards,Testing and Quality Assurance,Coding and Programming,
constantly thinking of things that have not been tried and is expected to exercise parts of the software that may be weak or that may not interact well,Testing and Quality Assurance,Coding and Programming,
deliver product up to satisfaction,Product Delivery and Installation,Coding and Programming,
install the product into clients system efficiently,Product Delivery and Installation,Coding and Programming,
ensure there is no error in product testing,Product Delivery and Installation,Coding and Programming,
excellent writing skills,Copy Writing,Coding and Programming,
excellent english grammar,Copy Writing,Coding and Programming,
"able to create compelling text that draws readers in, conveys a certain message or entertains",Copy Writing,Coding and Programming,
"writes clear, persuasive, original copy",Copy Writing,Coding and Programming,
keeping up to date with popular culture and trends,Copy Writing,Coding and Programming,
monitoring the effectiveness of advertising campaigns,Copy Writing,Coding and Programming,
develops creative ideas and concepts,Copy Writing,Coding and Programming,
determined,Copy Writing,Coding and Programming,
social perceptiveness,Copy Writing,Coding and Programming,
spatial reasoning,iOS Application Design,Coding and Programming,
design guidelines,iOS Application Design,Coding and Programming,
networking,iOS Application Design,Coding and Programming,
ability to Communicate Requirements and Progress to Technical and Non-Technical Team Members,iOS Application Design,Coding and Programming,
ability to Work Independently and Within a Team Environment,iOS Application Design,Coding and Programming,
actively Seek New Programming Knowledge,iOS Application Design,Coding and Programming,
comfortable With Command Line Utilities,iOS Application Design,Coding and Programming,
create iOS Applications Based on UI/UX Requirements and Mockups,iOS Application Design,Coding and Programming,
critical Thinking,iOS Application Design,Coding and Programming,
document Building Process for Maintenance and Upgrades,iOS Application Design,Coding and Programming,
experience Integrating With RESTful APIs,iOS Application Design,Coding and Programming,
keen Attention to Detail,iOS Application Design,Coding and Programming,
knowledgeable of Agile Development Process,iOS Application Design,Coding and Programming,
strong Analytical Thinking,iOS Application Design,Coding and Programming,
thorough Understanding of Data Structures and Algorithms,iOS Application Design,Coding and Programming,
test and Debug Code,iOS Application Design,Coding and Programming,
thorough Understanding of Development Lifecycle,iOS Application Design,Coding and Programming,
write and Maintain Applications,iOS Application Design,Coding and Programming,
spatial reasoning,Android Application Design,Coding and Programming,
design guidelines,Android Application Design,Coding and Programming,
networking,Android Application Design,Coding and Programming,
ability to Communicate Requirements and Progress to Technical and Non-Technical Team Members,Android Application Design,Coding and Programming,
ability to Work Independently and Within a Team Environment,Android Application Design,Coding and Programming,
actively Seek New Programming Knowledge,Android Application Design,Coding and Programming,
comfortable With Command Line Utilities,Android Application Design,Coding and Programming,
create android Applications Based on UI/UX Requirements and Mockups,Android Application Design,Coding and Programming,
critical Thinking,Android Application Design,Coding and Programming,
document Building Process for Maintenance and Upgrades,Android Application Design,Coding and Programming,
analyse data,Creativity Skills,,
multiple ways * solve,Creativity Skills,,
new idea * improve,Creativity Skills,,
problem solving,Creativity Skills,,
new ideas,Creativity Skills,,
practical solution,Creativity Skills,,
flexible * solutions,Creativity Skills,,
pointing out problems,Creativity Skills,,
identifies problem,Creativity Skills,,
finding solutions,Creativity Skills,,
process improvement,Creativity Skills,,
analysing skill,Creativity Skills,,
good analytical thinking,Creativity Skills,,
problem solving skills,Creativity Skills,,
proof of concept,Creativity Skills,,
deduce connection,Creativity Skills,,
improve * system,Creativity Skills,,
thinking different * solve * problem,Creativity Skills,,
root cause analysis,Creativity Skills,,
problem solver,Creativity Skills,,
find solutions,Creativity Skills,,
solving problems,Creativity Skills,,
good approach,Creativity Skills,,
listen to ideas,Creativity Skills,,
identify * problem,Creativity Skills,,
provide connection,Creativity Skills,,
creative person,Creativity Skills,,
firefighter,Creativity Skills,,
solve problem * right,Creativity Skills,,
good * troubleshooting,Creativity Skills,,
give good suggestion,Creativity Skills,,
advice * issue,Creativity Skills,,
give * some ideas,Creativity Skills,,
analyze * problem,Creativity Skills,,
different solutions,Creativity Skills,,
think another way,Creativity Skills,,
provide alternative solutions,Creativity Skills,,
suggest new technology,Creativity Skills,,
solving * issues,Creativity Skills,,
identify main problem,Creativity Skills,,
detecting * problem,Creativity Skills,,
compromise solution,Creativity Skills,,
strategic resolution,Creativity Skills,,
provide * idea * solving problem,Creativity Skills,,
good idea * solve problem,Creativity Skills,,
suggest * solutions,Creativity Skills,,
pin point problems,Creativity Skills,,
identifying * problem,Creativity Skills,,
determine * issue,Creativity Skills,,
solve * issue,Creativity Skills,,
work * better solution,Creativity Skills,,
resolve (NEAR) problem,Creativity Skills,,
identifies (NEAR) problem,Creativity Skills,,
creativity skills,Creativity Skills,,
identify ,Creativity Skills,,
solve problem * strategy,Creativity Skills,,
ideas * solving problem,Creativity Skills,,
creativity * problem solving,Creativity Skills,,
provide (NEAR) solutions,Creativity Skills,,
provide good solution,Creativity Skills,,
creativeness,Creativity Skills,,
suggest * way * enhance,Creativity Skills,,
cooperation,Collaboration,,
giving a lot of ideas,Creativity Skills,,
try to experiment,Creativity Skills,,
analytic thinking,Creativity Skills,,
come up * good idea,Creativity Skills,,
solutions (NEAR) suggestion,Creativity Skills,,
analysis * problem,Creativity Skills,,
provide * solution,Creativity Skills,,
find workaround,Creativity Skills,,
find solution * solve problem,Creativity Skills,,
willing to experiment,Creativity Skills,,
bring * new ideas,Creativity Skills,,
analyse problem,Creativity Skills,,
gives ideas,Creativity Skills,,
different approach,Creativity Skills,,
assigning task,Leadership Skills,,
example leader,Leadership Skills,,
delegating * others,Leadership Skills,,
give step by step,Leadership Skills,,
guide others,Leadership Skills,,
teach * juniors,Leadership Skills,,
experience Integrating With RESTful APIs,Android Application Design,Coding and Programming,
keen Attention to Detail,Android Application Design,Coding and Programming,
knowledgeable of Agile Development Process,Android Application Design,Coding and Programming,
strong Analytical Thinking,Android Application Design,Coding and Programming,
